"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"9639",7324154,1,54.54,60,71,67,3,91,6
"9641",7324156,1,72.72,60,68,48,21,86,5
"9642",7324156,2,72.72,60,68.5,0,51,91,4
"9643",7324158,1,45.45,60,71,69,36,72,6
"9644",7324164,1,45.45,60,67,67,21,61,5
"9645",7324164,2,45.45,60,65,0,3,69,5
"9650",7324171,1,36.36,60,70,53,64,76,6
"9651",7324174,1,36.36,60,71,65,23,91,6
"9652",7324177,1,54.54,44,67,69,23,91,6
"9653",7324178,1,45.45,44,69,69,3,91,5
"9654",7324178,2,45.45,60,67,0,52,84,5
"9655",7324186,1,45.45,44,65.5,66,56,86,6
"9657",7324200,1,36.36,60,71,69,62,81,6
"9658",7324208,1,42.42,60,70.5,72,3,74,9
"9659",7324208,2,42.42,60,65.5,0,29,76,8
"9661",7324210,1,81.81,60,75,48,21,91,8
"9662",7324211,1,81.81,60,64.5,47,52,76,8
"9663",7324213,1,81.81,80,59,63,31,50,8
"9664",7324215,1,81.81,80,65,60,23,70,6
"9665",7324218,1,81.81,60,66,63,53,79,5
"9666",7324219,1,81.81,60,67.5,66,44,64,7
"9667",7324219,2,81.81,60,68.5,0,44,84,7
"9668",7324227,2,75.75,80,70,0,23,91,6
"9669",7324229,1,75.75,60,76,65,3,82,7
"9670",7324238,1,90.9,60,62,66,29,86,7
"9671",7324238,2,90.9,60,71,0,3,76,8
"9673",7324240,2,90.9,60,73,0,54,86,5
"9674",7324242,2,81.81,60,66,0,54,91,3
"9675",7324247,1,81.81,60,53,64,66,79,9
"9676",7324247,2,81.81,60,68.5,0,31,91,8
"9677",7324250,1,81.81,80,61,67,51,74,10
"9678",7324250,2,81.81,44,64,0,29,91,10
"9679",7324251,1,81.81,60,67.5,64,36,81,8
"9681",7324251,6,81.81,44,65.5,0,23,86,7
"9682",7324253,6,90.9,60,62,0,23,54,8
"9683",7324254,1,81.81,60,62,63,50,76,7
"9684",7324257,1,81.81,44,67,60,69,66,6
"9687",7324263,1,75.75,80,69.5,58,23,91,7
"9688",7324275,1,81.81,60,73,51,31,55,8
"9689",7324275,2,81.81,60,65,0,31,67,7
"9690",7324277,4,81.81,80,69.5,0,3,48,7
"9693",7324286,1,81.81,60,71,60,31,66,8
"9694",7324289,1,81.81,60,69,53,23,81,8
"9698",7324294,1,54.54,100,69,62,56,91,10
"9699",7324295,1,60.6,60,60,53,23,86,10
"9700",7324298,4,57.57,60,68.5,0,36,76,10
"9701",7324313,1,36.36,60,63,69,36,72,10
"9704",7324319,1,72.72,60,67,41,21,91,9
"9705",7324321,1,72.72,60,66,40,36,69,7
"9706",7324324,1,72.72,60,68,70,23,91,7
"9707",7324324,2,72.72,60,75,0,54,81,7
"9708",7324326,1,72.72,60,68,51,58,91,7
"9710",7324331,6,72.72,60,64.5,0,36,48,8
"9711",7324332,1,72.72,60,72,56,58,86,7
"9712",7324332,2,72.72,60,64.5,0,23,86,8
"9713",7324336,1,72.72,60,68,59,54,91,7
"9714",7324336,2,72.72,60,70.5,0,3,91,5
"9715",7324339,1,60.6,60,67.5,69,3,64,7
"9716",7324339,2,60.6,60,71,0,3,72,7
"9717",7324346,1,72.72,60,74,64,57,72,7
"9719",7324351,1,54.54,60,64.5,66,31,35,7
"9720",7324369,1,66.66,60,65.5,52,23,58,8
"9722",7324377,1,72.72,80,64.5,63,23,55,5
"9723",7324385,1,69.69,60,71,64,67,86,10
"9724",7324389,1,84.84,60,75,66,63,82,10
"9727",7324394,2,75.75,80,73,0,36,74,7
"9728",7324398,1,81.81,60,71,65,23,91,7
"9731",7324406,1,72.72,80,75,63,31,82,10
"9732",7324408,2,75.75,60,75,0,23,91,10
"9734",7324410,1,84.84,60,66,62,23,76,7
"9735",7324410,2,84.84,60,71.5,0,3,91,7
"9736",7324415,1,78.78,60,66.5,44,3,26,8
"9737",7324416,1,78.78,60,71,47,3,66,6
"9738",7324416,2,78.78,60,62.5,0,3,81,8
"9739",7324417,5,72.72,60,58,0,23,62,6
"9740",7324418,1,81.81,44,66.5,43,23,42,10
"9742",7324423,1,81.81,44,69,51,23,49,8
"9743",7324428,1,75.75,60,68.5,56,53,52,7
"9746",7324436,3,54.54,60,71,0,31,72,10
"9747",7324436,4,54.54,60,71,0,23,91,7
