"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"900",7249606,1,60
"901",7249607,1,60
"902",7249614,4,60
"903",7249620,1,60
"904",7249622,1,60
"905",7249622,1,60
"906",7249633,1,60
"907",7249656,2,60
"908",7249656,3,60
"909",7249658,1,60
"910",7249659,1,44
"911",7249664,1,60
"912",7249666,4,44
"913",7249670,1,60
"914",7249673,1,60
"915",7249679,1,60
"916",7249686,1,60
"917",7249701,1,60
"918",7249702,1,60
"919",7249707,1,44
"920",7249718,1,60
"921",7249719,1,60
"922",7249721,1,60
"923",7249725,1,60
"924",7249731,1,60
"925",7249744,1,60
"926",7249745,5,60
"927",7249750,1,60
"928",7249755,1,100
"929",7249771,2,60
"930",7249775,1,60
"931",7249777,1,60
"932",7249781,1,60
"933",7249781,2,60
"934",7249785,1,44
"935",7249789,1,60
"936",7249789,2,60
"937",7249791,1,60
"938",7249795,1,60
"939",7249801,1,60
"940",7249802,1,60
"941",7249803,1,44
"942",7249807,1,44
"943",7249810,1,44
"944",7249810,2,60
"945",7249811,1,60
"946",7249811,2,60
"947",7249812,1,60
"948",7249818,1,60
"949",7249827,1,60
"950",7249828,1,60
"951",7249829,1,60
"952",7249831,1,60
"953",7249834,1,44
"954",7249835,1,60
"955",7249838,1,60
"956",7249846,1,60
"957",7249848,1,44
"958",7249849,2,60
"959",7249851,1,60
"960",7249856,2,60
"961",7249861,1,60
"962",7249863,1,44
"963",7249864,1,60
"964",7249865,1,60
"965",7249865,2,60
"966",7249866,1,60
"967",7249866,2,44
"968",7249868,1,60
"969",7249872,1,60
"970",7249872,2,60
"971",7249874,2,60
"972",7249890,1,60
"973",7249893,2,60
"974",7249894,1,60
"975",7249895,4,44
"976",7249911,1,60
"977",7249918,3,44
"978",7249919,1,44
"979",7249919,2,60
"980",7249929,2,60
"981",7249938,6,60
"982",7249939,1,80
"983",7249941,1,60
"984",7249941,2,60
"985",7249953,5,60
"986",7249956,1,80
"987",7249957,5,60
"988",7249959,1,60
"989",7249959,2,60
"990",7249964,1,100
"991",7249964,2,100
"992",7249968,1,60
"993",7249968,2,60
"994",7249969,1,60
"995",7249969,2,44
"996",7249970,1,60
"997",7249975,1,60
"998",7249978,1,44
"999",7249978,3,44
"1000",7249979,1,44
"1001",7249980,1,60
"1002",7250000,1,60
"1003",7250004,1,44
"1004",7250006,1,60
"1005",7250020,5,60
"1006",7250046,1,60
"1007",7250046,2,60
"1008",7250051,1,60
"1009",7250054,5,60
"1010",7250057,1,60
"1011",7250058,1,60
"1012",7250063,1,60
"1013",7250063,2,60
"1014",7250069,4,44
"1015",7250073,1,60
"1016",7250074,1,80
"1017",7250075,4,60
"1018",7250075,5,60
"1019",7250079,1,44
"1020",7250079,2,60
"1021",7250080,1,44
"1022",7250080,2,60
"1023",7250084,2,60
"1024",7250087,1,44
"1025",7250087,2,60
"1026",7250091,1,60
"1027",7250096,1,60
"1028",7250096,2,60
"1029",7250098,1,44
"1030",7250099,7,44
"1031",7250108,1,44
"1032",7250109,1,44
"1033",7250112,1,60
"1034",7250112,2,60
"1035",7250113,2,44
"1036",7250114,1,60
"1037",7250120,1,44
"1038",7250127,1,60
"1039",7250128,1,60
"1040",7250134,1,44
"1041",7250135,1,60
"1042",7250139,2,60
"1043",7250142,1,80
"1044",7250143,1,44
"1045",7250147,1,60
"1046",7250149,1,60
"1047",7250149,2,60
"1048",7250153,1,44
"1049",7250156,1,60
"1050",7250156,2,100
"1051",7250157,2,100
"1052",7250159,1,60
"1053",7250159,2,60
"1054",7250167,1,44
"1055",7250170,1,60
"1056",7250176,1,60
"1057",7250179,1,60
"1058",7250182,1,60
"1059",7250182,2,60
"1060",7250184,2,60
"1061",7250196,4,60
"1062",7250196,5,60
"1063",7250202,3,60
"1064",7250205,1,60
"1065",7250207,1,60
"1066",7250207,2,60
"1067",7250210,1,44
"1068",7250211,2,60
"1069",7250213,1,60
"1070",7250223,2,80
"1071",7250226,1,60
"1072",7250227,1,60
"1073",7250227,2,60
"1074",7250229,1,60
"1075",7250237,2,60
"1076",7250239,1,60
"1077",7250244,1,60
"1078",7250258,1,60
"1079",7250263,1,60
"1080",7250263,2,44
"1081",7250267,1,60
"1082",7250267,4,60
"1083",7250270,1,44
"1084",7250270,2,44
"1085",7250271,1,60
"1086",7250273,1,44
"1087",7250273,2,44
"1088",7250278,1,60
"1089",7250278,2,44
"1090",7250279,1,60
"1091",7250283,2,60
"1092",7250290,1,44
"1093",7250292,1,60
"1094",7250295,1,60
"1095",7250300,2,60
"1096",7250304,1,44
"1097",7250305,1,44
"1098",7250305,2,44
"1099",7250325,1,44
"1100",7250327,1,60
"1101",7250328,2,60
"1102",7250329,1,60
"1103",7250329,2,60
"1104",7250331,1,44
"1105",7250331,2,60
"1106",7250333,1,44
"1107",7250333,2,44
"1108",7250334,1,44
"1109",7250337,1,60
"1110",7250337,5,60
"1111",7250339,1,44
"1112",7250339,2,44
"1113",7250339,3,60
"1114",7250340,2,44
"1115",7250342,1,44
"1116",7250345,1,60
"1117",7250349,1,44
"1118",7250351,1,60
"1119",7250354,1,60
"1120",7250363,1,60
"1121",7250363,2,60
"1122",7250366,1,60
"1123",7250370,1,60
"1124",7250370,2,60
"1125",7250372,1,80
"1126",7250374,1,44
