"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1153",7250697,3,0
"1154",7250698,5,24
"1155",7250699,3,24
"1156",7250702,5,23
"1157",7250702,6,3
"1158",7250704,3,25
"1159",7250707,4,23
"1160",7250708,3,0
"1161",7250716,3,3
"1162",7250716,4,3
"1163",7250717,2,3
"1164",7250718,5,3
"1165",7250718,6,3
"1166",7250718,7,3
"1167",7250719,5,3
"1168",7250719,6,0
"1169",7250720,4,3
"1170",7250722,3,3
"1171",7250722,4,3
"1172",7250729,3,3
"1173",7250730,3,3
"1174",7250733,4,1
"1175",7250736,3,16
"1176",7250737,5,3
"1177",7250741,5,1
"1178",7250742,3,16
"1179",7250742,4,1
"1180",7250746,4,3
"1181",7250747,6,29
"1182",7250747,7,3
"1183",7250748,2,1
"1184",7250749,5,0
"1185",7250751,3,3
"1186",7250755,4,1
"1187",7250757,4,3
"1188",7250764,3,3
"1189",7250766,4,0
"1190",7250769,3,23
"1191",7250773,3,24
"1192",7250780,4,24
"1193",7250780,5,24
"1194",7250781,4,26
"1195",7250783,3,3
"1196",7250784,3,34
"1197",7250784,4,22
"1198",7250786,4,62
"1199",7250791,3,54
"1200",7250791,4,23
"1201",7250791,5,22
"1202",7250792,6,1
"1203",7250794,2,30
"1204",7250796,5,34
"1205",7250797,3,30
"1206",7250797,4,3
"1207",7250801,4,3
"1208",7250808,3,26
"1209",7250815,4,64
"1210",7250817,2,62
"1211",7250822,3,40
"1212",7250823,3,0
"1213",7250828,3,3
"1214",7250831,4,23
"1215",7250833,3,3
"1216",7250836,3,34
"1217",7250837,3,26
"1218",7250837,4,3
"1219",7250843,3,21
"1220",7250844,6,28
"1221",7250845,3,28
"1222",7250845,9,30
"1223",7250847,2,3
"1224",7250847,3,3
"1225",7250849,3,3
"1226",7250861,3,16
"1227",7250862,5,30
"1228",7250867,3,23
"1229",7250867,4,23
"1230",7250874,4,30
"1231",7250875,3,1
