"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
7,7250406,5
11,7250408,4
6,7250410,3
1,7250410,4
12,7250413,5
9,7250414,4
12,7250416,3
9,7250416,4
4,7250416,5
0,7250416,6
2,7250418,4
0,7250418,5
10,7250428,3
6,7250428,4
9,7250432,3
5,7250432,4
5,7250432,5
6,7250435,3
2,7250435,4
4,7250436,3
3,7250436,4
10,7250440,4
6,7250441,3
3,7250441,4
12,7250442,3
10,7250442,4
5,7250443,9
2,7250443,10
9,7250445,5
8,7250446,3
8,7250447,3
2,7250447,4
3,7250450,5
4,7250452,4
2,7250455,3
4,7250457,3
6,7250459,2
9,7250460,2
5,7250460,3
0,7250460,4
12,7250462,2
1,7250462,3
4,7250463,5
5,7250464,3
2,7250464,4
4,7250468,3
5,7250476,5
3,7250476,6
9,7250484,3
8,7250484,4
2,7250485,5
7,7250487,3
12,7250488,3
10,7250488,4
3,7250489,5
7,7250490,3
1,7250490,4
7,7250491,3
7,7250496,3
12,7250497,3
6,7250499,3
0,7250499,4
10,7250502,3
12,7250506,4
12,7250508,2
11,7250522,2
5,7250522,3
2,7250522,4
6,7250523,3
2,7250524,3
8,7250530,5
12,7250539,3
0,7250543,3
12,7250548,3
2,7250550,3
11,7250555,2
2,7250556,3
7,7250569,3
12,7250575,3
8,7250575,4
5,7250575,5
4,7250575,6
9,7250577,2
7,7250577,3
2,7250577,4
2,7250579,3
9,7250580,3
10,7250585,5
5,7250585,6
0,7250589,3
12,7250591,3
4,7250591,4
4,7250591,7
3,7250593,3
3,7250594,2
0,7250594,3
10,7250601,4
1,7250601,5
12,7250605,3
9,7250605,4
3,7250610,3
9,7250611,5
4,7250611,6
12,7250614,4
9,7250614,5
7,7250614,6
3,7250617,3
8,7250618,3
3,7250618,4
7,7250619,3
4,7250619,4
6,7250620,3
1,7250620,4
11,7250623,4
6,7250624,4
1,7250624,5
10,7250627,3
10,7250631,3
3,7250631,4
8,7250633,4
8,7250633,5
5,7250634,4
7,7250635,3
3,7250635,4
9,7250636,4
9,7250636,5
3,7250636,6
12,7250637,2
6,7250637,3
2,7250640,3
12,7250642,4
3,7250642,5
6,7250642,7
12,7250644,6
1,7250645,4
0,7250651,3
0,7250653,3
5,7250656,3
11,7250657,4
1,7250657,5
7,7250659,2
12,7250665,2
8,7250666,2
10,7250668,5
11,7250669,5
9,7250669,6
12,7250670,3
4,7250671,3
2,7250674,3
12,7250675,3
9,7250675,4
2,7250677,4
7,7250679,3
12,7250680,4
12,7250683,4
0,7250683,5
10,7250684,3
11,7250689,4
11,7250690,4
9,7250691,4
7,7250691,5
