"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
76,7372602,1,"7372602-1",192734,NA,NA,63098,62619,178419,155802,614445,63098,192734,63098,178419,NA,63098,NA
60,7372609,1,"7372609-1",192748,NA,NA,63104,62625,178433,155814,614486,63104,192748,63104,178433,NA,63104,NA
62,7372610,1,"7372610-1",192749,NA,NA,63105,62626,178434,155815,614489,63105,192749,63105,178434,NA,63105,NA
74,7372612,1,"7372612-1",192755,NA,NA,63107,62628,178439,155820,614505,63107,192755,63107,178439,NA,63107,NA
65,7372616,1,"7372616-1",192763,NA,NA,63111,62632,178445,155826,614530,63111,192763,63111,178445,NA,63111,NA
64,7372627,3,"7372627-3",192788,NA,NA,NA,NA,178468,155845,614603,NA,192788,NA,178468,NA,NA,NA
65,7372630,1,"7372630-1",192793,NA,NA,63124,62645,178472,155849,NA,63124,192793,63124,178472,NA,63124,NA
84,7372633,1,"7372633-1",192801,NA,NA,63127,62648,178479,155856,614634,63127,192801,63127,178479,NA,63127,NA
72,7372636,1,"7372636-1",192808,NA,NA,63130,62651,178485,155861,614663,63130,192808,63130,178485,NA,63130,NA
64,7372644,1,"7372644-1",192823,NA,NA,63137,62658,178499,155874,614699,63137,192823,63137,178499,NA,63137,NA
65,7372648,1,"7372648-1",192829,NA,NA,63140,62661,178505,155880,614702,63140,192829,63140,178505,NA,63140,NA
60,7372656,1,"7372656-1",192839,NA,NA,63145,62666,178515,155889,614736,63145,192839,63145,178515,NA,63145,NA
84,7372656,2,"7372656-2",192840,NA,NA,NA,NA,178516,155890,614737,NA,192840,NA,178516,NA,NA,NA
63,7372661,1,"7372661-1",192849,NA,NA,63149,62670,178523,155897,614754,63149,192849,63149,178523,NA,63149,NA
89,7372662,2,"7372662-2",192853,NA,NA,NA,NA,178527,155901,614765,NA,192853,NA,178527,NA,NA,NA
84,7372669,1,"7372669-1",192866,NA,NA,63155,62676,178539,155909,614788,63155,192866,63155,178539,NA,63155,NA
